Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Timestamp,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-17 16:57:41.826,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:41.878,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:41.929,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:41.983,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.040,0.0,1.91,0.0,0.0,-2.14,-20.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.091,-24.57,1.91,0.0,0.0,-26.71,-261.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.142,-24.57,1.91,0.0,0.0,-26.71,-261.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.192,-24.57,1.91,0.0,0.0,-26.71,-261.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.243,-24.57,1.91,0.0,0.0,-26.71,-261.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.293,-24.57,1.91,0.0,0.0,-26.71,-261.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.346,-24.57,1.91,0.0,0.0,-26.71,-261.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.396,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.448,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.498,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.555,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.606,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.656,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.706,-24.57,1.91,0.14,0.0,-26.57,-260.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.757,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.807,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.858,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.914,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:42.964,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:43.014,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:43.069,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 16:57:43.119,-24.56,1.91,0.14,0.0,-26.56,-260.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7:42.223,motor_mount,-0.047,-0.018,-0.972
ACCEL,16:57:42.230,motor_mount,-0.145,0.045,-0.981
ACCEL,16:57:42.237,motor_mount,-0.119,0.047,-0.996
ACCEL,16:57:42.247,motor_mount,-0.025,-0.012,-1.032
ACCEL,16:57:42.254,motor_mount,-0.042,0.023,-0.976
ACCEL,16:57:42.261,motor_mount,-0.082,0.031,-1.009
ACCEL,16:57:42.268,motor_mount,-0.029,0.124,-1.001
ACCEL,16:57:42.276,motor_mount,-0.032,0.055,-1.027
ACCEL,16:57:42.283,motor_mount,-0.079,0.028,-1.060
ACCEL,16:57:42.290,motor_mount,-0.071,0.044,-1.049
ACCEL,16:57:42.297,motor_mount,-0.090,0.011,-1.065
ACCEL,16:57:42.306,motor_mount,-0.079,-0.016,-0.983
ACCEL,16:57:42.313,motor_mount,-0.091,0.015,-1.034
ACCEL,16:57:42.320,motor_mount,-0.097,0.030,-1.031
ACCEL,16:57:42.327,motor_mount,-0.041,0.047,-0.994
ACCEL,16:57:42.335,motor_mount,-0.056,0.041,-1.005
ACCEL,16:57:42.342,motor_mount,-0.034,0.002,-0.997
ACCEL,16:57:42.350,motor_mount,-0.046,-0.025,-1.017
ACCEL,16:57:42.358,motor_mount,-0.086,-0.010,-1.046
ACCEL,16:57:42.365,motor_mount,0.008,0.000,-0.978
ACCEL,16:57:42.372,motor_mount,-0.023,-0.017,-0.989
ACCEL,16:57:42.381,motor_mount,-0.049,0.009,-0.954
ACCEL,16:57:42.390,motor_mount,-0.039,0.003,-0.995
ACCEL,16:57:42.397,motor_mount,-0.127,-0.038,-1.083
ACCEL,16:57:42.404,motor_mount,-0.021,-0.002,-1.050
ACCEL,16:57:42.411,motor_mount,-0.030,0.029,-1.030
ACCEL,16:57:42.418,motor_mount,-0.038,0.000,-0.981
ACCEL,16:57:42.426,motor_mount,-0.099,-0.018,-0.978
ACCEL,16:57:42.433,motor_mount,-0.031,0.008,-1.044
ACCEL,16:57:42.440,motor_mount,-0.075,-0.009,-1.058
ACCEL,16:57:42.446,motor_mount,-0.062,0.001,-0.978
ACCEL,16:57:42.453,motor_mount,-0.074,0.034,-0.994
ACCEL,16:57:42.461,motor_mount,-0.075,-0.036,-1.003
ACCEL,16:57:42.469,motor_mount,-0.081,-0.017,-1.063
ACCEL,16:57:42.476,motor_mount,-0.110,-0.018,-1.020
ACCEL,16:57:42.487,motor_mount,-0.065,-0.016,-1.021
ACCEL,16:57:42.494,motor_mount,-0.066,0.021,-0.998
ACCEL,16:57:42.501,motor_mount,-0.061,0.029,-1.031
ACCEL,16:57:42.508,motor_mount,-0.010,0.019,-1.010
ACCEL,16:57:42.515,motor_mount,-0.006,0.069,-0.974
ACCEL,16:57:42.524,motor_mount,-0.061,0.029,-1.067
ACCEL,16:57:42.531,motor_mount,-0.021,-0.008,-0.986
ACCEL,16:57:42.540,motor_mount,-0.035,-0.010,-1.013
ACCEL,16:57:42.547,motor_mount,-0.025,0.006,-1.030
ACCEL,16:57:42.556,motor_mount,-0.086,0.033,-1.010
ACCEL,16:57:42.563,motor_mount,-0.033,0.002,-1.107
ACCEL,16:57:42.570,motor_mount,0.012,0.009,-1.030
ACCEL,16:57:42.577,motor_mount,0.014,0.006,-1.037
ACCEL,16:57:42.584,motor_mount,-0.093,-0.025,-1.001
ACCEL,16:57:42.591,motor_mount,-0.060,0.034,-0.948
ACCEL,16:57:42.598,motor_mount,-0.085,0.027,-1.008
ACCEL,16:57:42.606,motor_mount,-0.080,-0.033,-0.986
ACCEL,16:57:42.613,motor_mount,-0.034,-0.011,-1.023
ACCEL,16:57:42.620,motor_mount,-0.053,-0.002,-1.014
ACCEL,16:57:42.627,motor_mount,-0.033,-0.013,-1.023
ACCEL,16:57:42.634,motor_mount,-0.016,-0.031,-1.027
ACCEL,16:57:42.641,motor_mount,-0.091,0.011,-1.022
ACCEL,16:57:42.649,motor_mount,-0.104,0.035,-0.988
ACCEL,16:57:42.656,motor_mount,-0.054,-0.020,-1.017
ACCEL,16:57:42.663,motor_mount,-0.055,0.062,-1.016
ACCEL,16:57:42.670,motor_mount,-0.050,0.056,-1.043
ACCEL,16:57:42.680,motor_mount,-0.058,0.010,-0.983
ACCEL,16:57:42.691,motor_mount,-0.056,0.010,-0.985
ACCEL,16:57:42.698,motor_mount,-0.057,0.050,-1.036
ACCEL,16:57:42.708,motor_mount,-0.069,-0.021,-0.981
ACCEL,16:57:42.716,motor_mount,-0.083,-0.044,-1.039
ACCEL,16:57:42.723,motor_mount,-0.083,-0.008,-1.022
ACCEL,16:57:42.730,motor_mount,-0.051,-0.010,-1.009
ACCEL,16:57:42.737,motor_mount,-0.059,-0.007,-1.006
ACCEL,16:57:42.744,motor_mount,-0.072,0.015,-1.054
ACCEL,16:57:42.751,motor_mount,-0.084,0.008,-0.996
ACCEL,16:57:42.758,motor_mount,-0.022,0.007,-0.936
ACCEL,16:57:42.765,motor_mount,-0.077,-0.048,-0.977
