Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-17 17:45:11.648,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.648,RPi2,-0.12,-0.059,-1.021
2025-07-17 17:45:11.699,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.699,RPi2,-0.082,0.024,-0.981
2025-07-17 17:45:11.749,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.749,RPi2,-0.085,0.021,-0.992
2025-07-17 17:45:11.800,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.800,RPi2,-0.063,0.028,-1.011
2025-07-17 17:45:11.850,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.850,RPi2,-0.021,0.052,-1.027
2025-07-17 17:45:11.901,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.901,RPi2,-0.088,0.054,-1.03
2025-07-17 17:45:11.951,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:11.951,RPi2,-0.025,-0.017,-0.974
2025-07-17 17:45:12.001,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.001,RPi2,-0.079,-0.022,-0.997
2025-07-17 17:45:12.052,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.052,RPi2,-0.065,0.002,-1.01
2025-07-17 17:45:12.102,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.102,RPi2,-0.048,0.006,-0.959
2025-07-17 17:45:12.153,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.153,RPi2,-0.093,0.028,-1.007
2025-07-17 17:45:12.203,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.203,RPi2,-0.091,0.005,-0.96
2025-07-17 17:45:12.253,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.253,RPi2,-0.061,0.033,-1.017
2025-07-17 17:45:12.304,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.304,RPi2,-0.111,0.022,-1.026
2025-07-17 17:45:12.354,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.354,RPi2,-0.023,0.003,-1.065
2025-07-17 17:45:12.405,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.405,RPi2,-0.082,0.013,-0.978
2025-07-17 17:45:12.455,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.455,RPi2,-0.085,0.01,-1.007
2025-07-17 17:45:12.505,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.505,RPi2,-0.103,-0.055,-1.02
2025-07-17 17:45:12.556,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.556,RPi2,-0.044,-0.005,-1.033
2025-07-17 17:45:12.606,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.606,RPi2,-0.097,0.001,-1.015
2025-07-17 17:45:12.657,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.657,RPi2,-0.073,-0.021,-1.028
2025-07-17 17:45:12.707,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.707,RPi2,-0.11,0.018,-0.995
2025-07-17 17:45:12.758,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:12.758,RPi2,-0.062,-0.017,-1.021
