17:45:20.020
Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-17 17:45:20.106,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.106,RPi2,-0.067,0.02,-1.029
2025-07-17 17:45:20.159,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.159,RPi2,-0.036,0.047,-1.035
2025-07-17 17:45:20.210,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.210,RPi2,-0.094,-0.005,-1.044
2025-07-17 17:45:20.262,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.262,RPi2,-0.086,-0.002,-1.032
2025-07-17 17:45:20.312,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.312,RPi2,-0.055,0.036,-0.998
2025-07-17 17:45:20.363,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.363,RPi2,-0.091,-0.001,-0.951
2025-07-17 17:45:20.413,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.413,RPi2,-0.089,0.015,-1.016
2025-07-17 17:45:20.463,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.463,RPi2,-0.034,-0.027,-1.011
2025-07-17 17:45:20.514,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.514,RPi2,-0.051,0.021,-1.024
2025-07-17 17:45:20.564,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.564,RPi2,-0.004,0.064,-0.958
2025-07-17 17:45:20.615,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.615,RPi2,-0.035,-0.021,-1.029
2025-07-17 17:45:20.665,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.665,RPi2,-0.081,-0.019,-0.956
2025-07-17 17:45:20.715,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.716,RPi2,-0.05,0.029,-0.933
2025-07-17 17:45:20.766,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.766,RPi2,-0.064,-0.004,-1.083
2025-07-17 17:45:20.816,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-17 17:45:20.816,RPi2,-0.073,-0.021,-0.996
