11:34:44.698
Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-21 11:34:46.496,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.066,0.022,-1.023
2025-07-21 11:34:46.547,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.057,0.014,-1.073
2025-07-21 11:34:46.601,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.063,0.026,-1.021
2025-07-21 11:34:46.651,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.102,0.039,-0.945
2025-07-21 11:34:46.702,0.0,0.0,0.29,0.0,-3.76,-36.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.054,0.005,-0.981
2025-07-21 11:34:46.752,0.0,0.68,0.29,0.0,-3.08,-30.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.108,0.0,-1.025
2025-07-21 11:34:46.803,0.0,0.68,0.29,0.0,-3.08,-30.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.066,0.006,-1.04
2025-07-21 11:34:46.854,0.0,0.68,0.29,0.0,-3.08,-30.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.087,-0.046,-0.988
2025-07-21 11:34:46.904,0.0,0.68,0.29,0.0,-3.08,-30.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.059,0.013,-0.996
2025-07-21 11:34:46.954,0.0,0.68,0.29,0.0,-3.08,-30.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.102,0.005,-0.997
