Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM168,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-05-30 13:03:29.327,0.0,0.0,0.0,0.0,-2.0,-19.6,10.44,0.0,22.8,0.42,566.43,25,23,0.0,0.0,0.0,0.0
2025-05-30 13:03:29.378,0.0,0.0,0.0,0.0,-2.0,-19.6,10.44,0.12,22.8,0.42,566.46,11,23,0.0,568.6,0.0,90
2025-05-30 13:03:29.429,0.0,0.0,0.0,0.0,-2.0,-19.6,9.7,0.12,22.8,-0.14,566.62,-9,23,0.0,568.6,0.0,90
2025-05-30 13:03:29.480,0.0,0.0,0.0,0.0,-2.0,-19.6,8.61,0.12,22.9,0.0,566.62,-9,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.530,0.0,0.0,0.0,0.0,-2.0,-19.6,7.32,0.0,22.9,-0.14,566.52,-15,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.581,0.0,0.0,0.0,0.0,-2.0,-19.6,5.68,0.0,22.9,0.0,566.49,-15,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.632,0.0,0.0,0.0,0.0,-2.0,-19.6,4.03,0.0,22.9,0.14,566.52,-10,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.683,0.0,0.0,0.0,0.0,-2.0,-19.6,2.2,0.0,22.9,0.0,566.4,-17,23,0.0,568.6,0.0,90
2025-05-30 13:03:29.734,0.0,0.0,0.0,0.0,-2.0,-19.6,2.2,0.0,22.8,0.0,566.33,-18,23,0.0,568.6,0.0,90
2025-05-30 13:03:29.785,0.0,0.0,0.0,0.0,-2.0,-19.6,0.73,0.0,22.8,-0.14,566.49,-16,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.836,0.0,0.0,0.0,0.0,-2.0,-19.6,-0.18,0.0,22.8,-0.14,566.49,-17,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.887,0.0,0.0,0.0,0.0,-2.0,-19.6,-0.55,0.0,22.8,0.0,566.46,-22,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.937,0.0,0.0,0.0,0.0,-2.0,-19.6,-0.55,0.0,22.8,0.14,566.3,-22,23,0.0,568.6,0.0,100
2025-05-30 13:03:29.988,-3.21,0.0,0.0,0.0,-5.21,-51.058,-0.18,0.0,22.8,-0.14,566.4,-15,23,0.0,568.5,0.0,100
2025-05-30 13:03:30.038,-3.21,0.0,0.0,0.0,-5.21,-51.058,-0.18,0.0,22.8,-0.14,566.46,-16,23,0.0,568.5,0.0,100
2025-05-30 13:03:30.089,-3.21,0.0,0.0,0.0,-5.21,-51.058,-0.18,0.0,22.8,0.28,566.3,-20,23,0.0,568.6,0.0,100
2025-05-30 13:03:30.141,-3.21,0.0,0.0,0.0,-5.21,-51.058,-0.18,0.0,22.8,0.14,566.3,-9,23,0.0,568.6,0.0,100
2025-05-30 13:03:30.193,-3.21,0.0,0.0,0.0,-5.21,-51.058,0.0,0.0,22.8,0.28,566.4,-15,23,0.0,568.6,0.0,90
2025-05-30 13:03:30.244,-3.21,0.0,0.0,0.0,-5.21,-51.058,0.0,0.0,22.8,0.28,566.37,-18,23,0.0,568.6,0.0,90
