Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM168,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-05-29 15:44:26.419,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.3,0.0,564.91,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.473,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.3,-0.14,564.85,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.524,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.3,0.0,564.75,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.574,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,0.14,564.75,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.625,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,0.0,564.81,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.676,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,0.28,564.88,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.726,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,-0.14,564.88,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.777,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,0.14,564.88,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.828,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,0.28,564.81,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.880,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.3,0.28,564.94,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.931,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.2,0.0,564.85,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:26.983,0.0,0.0,0.0,0.0,-3.8,-37.24,0.0,0.0,26.3,-0.14,564.88,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.034,-2.69,3.05,0.0,0.0,-3.44,-33.712,0.0,0.0,26.3,0.0,564.88,0,7,0.0,566.6,0.0,0
2025-05-29 15:44:27.086,-2.69,3.05,0.0,0.0,-3.44,-33.712,0.0,0.0,26.3,0.14,564.97,0,7,0.0,566.6,0.0,0
2025-05-29 15:44:27.137,-2.69,3.05,0.0,0.0,-3.44,-33.712,0.0,0.0,26.3,0.0,564.91,0,7,0.0,566.5,0.0,10
2025-05-29 15:44:27.189,-2.69,3.05,0.0,0.0,-3.44,-33.712,0.0,0.0,26.3,-0.14,564.91,0,7,0.0,566.5,0.0,10
2025-05-29 15:44:27.240,-2.69,3.05,0.0,0.0,-3.44,-33.712,0.0,0.0,26.3,0.28,564.75,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.291,-2.69,3.05,0.0,0.0,-3.44,-33.712,0.0,0.0,26.2,0.0,564.72,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.343,-2.69,3.05,-0.51,0.0,-3.95,-38.71,0.0,0.0,26.2,0.42,564.72,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.394,-2.69,3.05,-0.51,0.0,-3.95,-38.71,0.0,0.0,26.2,0.42,564.85,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.444,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.0,26.2,0.0,564.72,0,7,0.0,566.5,0.0,10
2025-05-29 15:44:27.495,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.0,26.2,0.0,564.85,0,7,0.0,566.5,0.0,10
2025-05-29 15:44:27.546,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.0,26.2,0.0,564.81,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.596,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.12,26.2,0.14,564.75,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.647,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.0,26.2,0.0,564.72,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.698,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.12,26.2,-0.14,564.78,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.749,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.12,26.2,0.0,564.75,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.800,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.0,26.2,0.0,564.75,0,7,0.0,566.5,0.0,0
2025-05-29 15:44:27.851,-2.69,3.05,-0.51,3.91,-0.04,-0.392,0.0,0.0,26.2,0.0,564.94,0,7,0.0,566.5,0.0,0
